Unique_id,Links,Name,Ratings,Price_for_one,Cuisine
93,https://www.zomato.com/bangalore/shree-mahalakshmi-sweets-2-basavanagudi-bangalore/order,Shree Mahalakshmi Sweets,4.1,100,"Mithai, Street Food"
94,https://www.zomato.com/bangalore/shanmukha-1-jp-nagar-bangalore/order,Shanmukha,4.1,100,"Biryani, Andhra, North Indian, Chinese, Seafood"
95,https://www.zomato.com/bangalore/starbucks-coffee-lavelle-road-bangalore/order,Starbucks Coffee,4.2,100,"Cafe, Beverages, Desserts"
96,https://www.zomato.com/bangalore/chaat-street-koramangala-4th-block-bangalore/order,Chaat Street,3.9,100,"Street Food, Fast Food, North Indian, Beverages"
97,https://www.zomato.com/bangalore/al-ameen-rolls-corner-kammanahalli-bangalore/order,Al Ameen Rolls Corner,3.7,100,"Rolls, Fast Food"
98,https://www.zomato.com/bangalore/narmada-chain-of-restaurants-frazer-town-bangalore/order,Narmada Chain of Restaurants,4.3,100,"Andhra, Hyderabadi, Biryani, North Indian, Chinese, Beverages"
99,https://www.zomato.com/bangalore/zomoz-the-momo-company-indiranagar-bangalore/order,Zomoz - The Momo Company,4.1,100,"Momos, Fast Food"
100,https://www.zomato.com/bangalore/sandwich-guru-basavanagudi-bangalore/order,Sandwich Guru,4,100,"Sandwich, Fast Food, Beverages, Shake"
101,https://www.zomato.com/bangalore/donne-biryani-house-malleshwaram/order,Donne Biryani House,4,100,"Biryani, South Indian"
102,https://www.zomato.com/bangalore/sangam-sweets-majestic/order,Sangam Sweets,4.3,100,"Mithai, Street Food, Fast Food"
103,https://www.zomato.com/bangalore/madurai-idly-shop-1-koramangala-7th-block-bangalore/order,Madurai Idly Shop,3.9,100,South Indian
104,https://www.zomato.com/bangalore/karnataka-biryani-point-rajajinagar-bangalore/order,Karnataka Biryani Point,4,100,"Biryani, South Indian"
105,https://www.zomato.com/bangalore/bangarpet-chats-banashankari/order,Bangarpet Chats,3.7,100,Street Food
106,https://www.zomato.com/bangalore/biryani-by-kilo-majestic-bangalore/order,Biryani By Kilo,4.1,100,"Biryani, Hyderabadi, North Indian, Kebab, Mughlai, Desserts"
107,https://www.zomato.com/bangalore/punjabi-nawabi-koramangala-7th-block-bangalore/order,Punjabi Nawabi,3.6,100,"North Indian, Biryani, Mughlai, Chinese, Kebab"
108,https://www.zomato.com/bangalore/five-star-new-ambur-biryani-btm-bangalore/order,Five Star New Ambur Biryani,3.4,100,"Biryani, Fast Food, South Indian"
109,https://www.zomato.com/bangalore/potful-claypot-biryanis-thippasandra-bangalore/order,Potful - Claypot Biryanis,4.1,100,"Biryani, Kebab, Mughlai, North Indian, Desserts"
110,https://www.zomato.com/bangalore/barbeque-nation-ulsoor-bangalore/order,Barbeque Nation,3.8,100,"Street Food, Mughlai, Biryani, North Indian, Bar Food, Beverages"
111,https://www.zomato.com/bangalore/donne-biriyani-house-richmond-road-bangalore/order,Donne Biriyani House,3.8,100,"Biryani, South Indian"
